ticket_id,ticket_date,product,category,priority,channel,agent,status,resolution_hours,sla_status,customer_satisfaction
1,2026-06-13,Core SaaS,Performance,Low,Email,Rohan,Pending,29.8,Met,3
2,2026-01-09,Collaboration,Performance,Low,Email,Rohan,Resolved,27.0,Met,4
3,2026-06-16,Core SaaS,Billing,High,Web,Meera,Resolved,6.2,Met,4
4,2026-03-13,Analytics,Technical Issue,Low,Email,Meera,Resolved,32.1,Met,5
5,2026-04-02,Collaboration,Technical Issue,High,Chat,Aarav,Escalated,4.2,Met,5
6,2026-03-17,Analytics,Performance,High,Email,Anaya,Resolved,5.6,Met,5
7,2026-01-12,Core SaaS,Feature Request,Medium,Chat,Meera,Resolved,19.7,Met,5
8,2026-02-11,Analytics,Technical Issue,Medium,Web,Anaya,Resolved,6.5,Met,4
9,2026-05-17,Collaboration,Performance,High,Email,Anaya,Resolved,12.0,Breached,5
10,2026-01-15,Analytics,Feature Request,Low,Chat,Aarav,Resolved,33.3,Met,2
11,2026-05-26,Collaboration,Feature Request,High,Email,Kabir,Resolved,7.7,Met,4
12,2026-03-05,Collaboration,Performance,High,Chat,Rohan,Pending,15.4,Breached,5
13,2026-04-03,Core SaaS,Technical Issue,Low,Email,Anaya,Resolved,34.8,Met,3
14,2026-06-24,Analytics,Performance,Medium,Chat,Rohan,Resolved,17.9,Met,2
15,2026-05-22,Collaboration,Account Access,High,Web,Kabir,Resolved,16.4,Breached,5
16,2026-03-17,Collaboration,Account Access,Medium,Web,Diya,Escalated,18.5,Met,4
17,2026-01-28,Core SaaS,Account Access,High,Email,Rohan,Escalated,8.3,Met,5
18,2026-01-01,Core SaaS,Account Access,Medium,Chat,Diya,Resolved,23.4,Met,4
19,2026-03-03,Core SaaS,Performance,High,Email,Diya,Pending,11.6,Met,4
20,2026-05-21,Collaboration,Feature Request,Low,Email,Rohan,Resolved,29.4,Met,5
21,2026-03-21,Analytics,Technical Issue,Medium,Email,Diya,Resolved,16.2,Met,5
22,2026-03-28,Collaboration,Billing,Low,Email,Aarav,Resolved,26.6,Met,5
23,2026-02-28,Analytics,Feature Request,Low,Email,Rohan,Resolved,33.5,Met,5
24,2026-05-27,Analytics,Feature Request,Medium,Email,Aarav,Resolved,18.7,Met,4
25,2026-06-18,Collaboration,Technical Issue,Medium,Email,Meera,Resolved,14.0,Met,5
26,2026-01-28,Analytics,Billing,Low,Chat,Diya,Resolved,32.1,Met,3
